exp_flood,exp_disas,prior_cc,prior_slr,pol_party,pol_ideol,age,educ,children,income,t,cost,wtp,purchase,sit_worry,sit_prepare,glob_finan,glob_safe,female,minority,university,unemployed,married,standalone,coastal,t0,t1,t2,t3
0,1,4,5,1,1,25,3,0,37500,Treatment 2b,64,81,1,5,5,5,5,1,0,0,0,0,0,0,0,0,0,1
0,1,5,5,1,1,25,7,0,62500,Control,90,103,1,4,4,5,4,1,1,1,0,0,0,1,1,0,0,0
0,1,4,4,4,4,35,6,0,12500,Control,75,45,1,3,4,4,3,0,0,1,0,0,0,1,1,0,0,0
0,1,5,5,4,4,25,5,0,12500,Control,75,65,1,2,4,4,5,0,0,0,0,0,0,1,1,0,0,0
0,0,5,5,6,5,25,6,1,87500,Control,50,50,1,4,4,5,5,1,0,1,0,1,0,1,1,0,0,0
0,0,1,4,2,5,45,4,1,12500,Control,75,75,1,5,5,5,5,1,0,0,0,0,1,0,1,0,0,0
0,0,5,5,2,3,25,6,0,112500,Control,10,20,1,4,4,4,4,1,0,1,1,0,0,1,1,0,0,0
0,0,5,5,1,1,25,6,0,37500,Control,70,0,0,2,3,4,4,1,0,1,0,0,0,0,1,0,0,0
0,1,3,3,5,4,45,4,0,37500,Control,55,55,1,4,4,2,4,1,0,0,0,0,0,1,1,0,0,0
0,0,5,4,4,4,55,5,4,150000,Control,61,62,1,4,4,4,5,1,0,0,0,1,1,0,1,0,0,0
0,0,4,4,6,6,35,7,2,87500,Treatment 1,40,40,1,4,5,5,5,1,0,1,0,1,1,1,0,1,0,0
0,0,5,5,1,1,35,6,0,37500,Treatment 1,34,29,1,4,4,5,4,0,0,1,0,0,0,1,0,1,0,0
1,0,5,5,1,2,35,3,4,37500,Control,100,75,1,4,4,4,4,1,0,0,1,1,1,0,1,0,0,0
1,1,5,5,1,2,35,3,0,37500,Treatment 2b,35,15,1,4,4,4,4,0,0,0,0,0,1,1,0,0,0,1
1,0,5,4,4,4,55,7,3,62500,Control,101,122,1,5,5,5,5,1,0,1,0,1,1,1,1,0,0,0
0,1,4,4,6,5,45,5,0,37500,Treatment 2a,75,0,0,2,4,4,2,0,0,0,0,0,0,0,0,0,1,0
0,0,5,5,2,4,25,6,0,12500,Control,70,100,1,5,5,5,3,0,1,1,1,0,0,1,1,0,0,0
0,1,2,4,7,6,25,3,0,87500,Control,24,40,1,4,5,5,5,1,0,0,1,1,1,0,1,0,0,0
0,0,5,5,1,2,25,5,0,87500,Treatment 2a,21,0,0,3,1,5,2,0,0,0,0,0,0,1,0,0,1,0
0,0,5,5,1,1,35,7,0,37500,Treatment 1,48,69,1,5,4,4,4,0,0,1,0,0,0,0,0,1,0,0
1,1,1,4,4,6,55,4,2,62500,Treatment 1,35,50,1,4,4,4,4,0,0,0,0,1,1,1,0,1,0,0
0,0,5,4,7,7,35,3,0,37500,Treatment 2b,15,0,0,1,5,4,4,0,0,0,0,0,0,1,0,0,0,1
0,0,5,4,4,3,15,3,0,87500,Treatment 2b,45,70,1,5,4,5,5,0,0,0,0,0,0,0,0,0,0,1
0,0,2,3,1,1,25,6,0,87500,Treatment 2b,28,49,1,3,2,2,3,0,0,1,0,0,0,1,0,0,0,1
0,0,4,4,6,6,25,6,0,37500,Control,42,36,1,4,4,4,4,0,0,1,0,0,1,0,1,0,0,0
0,1,4,3,5,5,45,6,1,87500,Control,75,10,1,4,4,5,4,0,0,1,0,0,1,0,1,0,0,0
1,1,4,4,1,6,55,6,1,37500,Treatment 2a,64,64,1,4,4,5,4,1,1,1,0,1,0,1,0,0,1,0
0,1,4,4,6,5,25,6,0,62500,Treatment 2a,50,75,1,4,4,4,4,0,0,1,0,0,0,0,0,0,1,0
0,0,5,5,2,4,35,3,2,37500,Treatment 2b,30,50,1,5,5,5,5,0,0,0,0,1,1,0,0,0,0,1
0,0,5,5,2,2,35,5,0,62500,Treatment 2a,30,20,1,5,4,4,4,0,0,0,0,0,1,1,0,0,1,0
