exp_flood,exp_disas,prior_cc,prior_slr,pol_party,pol_ideol,age,educ,children,income,t,cost,wtp,purchase,sit_worry,sit_prepare,glob_finan,glob_safe,female,minority,university,unemployed,married,standalone,coastal,t0,t1,t2,t3,pol,cc,sit_w,sit_p,glob_f,glob_s,sit_sum,sit,prem_perceived,prem_actual
0,1,5,5,7,6,35,6,0,62500,Treatment 2b,15,25,1,4,5,5,5,0,1,1,0,0,1,1,0,0,0,1,10.9265834166369,0.973477884601824,0.174669826244958,1.04863583254347,0.853999693319896,1.04281073906155,9,6,10,-37.5
0,0,5,5,1,2,35,6,0,37500,Treatment 2b,30,45,1,4,4,5,3,0,0,1,0,0,0,1,0,0,0,1,0.926583416636868,0.973477884601824,0.174669826244958,-0.100554120928827,0.853999693319896,-1.45681050812719,8,5,15,-17.5
0,0,5,4,6,4,45,5,0,87500,Treatment 1,45,75,1,5,5,4,4,1,1,0,0,0,1,0,0,1,0,0,7.92658341663687,0.428874872237167,1.13836541932059,1.04863583254347,-0.459845988710713,-0.206999884532818,10,7,30,12.5
0,0,5,4,4,7,25,6,0,62500,Treatment 1,75,0,0,4,4,3,4,0,0,1,0,0,1,1,0,1,0,0,8.92658341663687,0.428874872237167,0.174669826244958,-0.100554120928827,-1.77369167074132,-0.206999884532818,8,5,-75,-62.5
0,0,5,5,1,1,45,3,2,12500,Treatment 2b,125,125,1,5,5,5,5,1,0,0,0,0,0,0,0,0,0,1,-0.0734165833631315,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,0,62.5
0,0,5,5,2,2,25,6,0,37500,Treatment 2b,50,49,1,5,5,5,4,0,0,1,0,0,0,0,0,0,0,1,1.92658341663687,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,-0.206999884532818,10,7,-1,-13.5
1,1,4,4,7,2,35,7,1,62500,Treatment 2b,89,91,1,5,5,4,5,1,0,1,0,1,0,1,0,0,0,1,6.92658341663687,-0.11572814012749,1.13836541932059,1.04863583254347,-0.459845988710713,1.04281073906155,10,7,2,28.5
0,1,5,5,3,2,25,4,2,12500,Treatment 2a,125,125,1,5,5,4,4,0,0,0,0,0,1,1,0,0,1,0,2.92658341663687,0.973477884601824,1.13836541932059,1.04863583254347,-0.459845988710713,-0.206999884532818,10,7,0,62.5
1,1,4,4,6,6,25,6,0,62500,Control,70,73,1,4,3,4,4,1,1,1,0,0,0,0,1,0,0,0,9.92658341663687,-0.11572814012749,0.174669826244958,-1.24974407440113,-0.459845988710713,-0.206999884532818,7,3,3,10.5
0,0,4,4,4,4,35,6,0,112500,Treatment 2a,15,30,1,5,5,5,5,0,0,1,0,0,1,0,0,0,1,0,5.92658341663687,-0.11572814012749,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,15,-32.5
0,1,3,4,7,6,35,7,2,112500,Treatment 2b,23,20,1,2,4,5,5,0,1,1,0,1,0,0,0,0,0,1,10.9265834166369,-0.660331152492146,-1.75272135990631,-0.100554120928827,0.853999693319896,1.04281073906155,6,2,-3,-42.5
0,0,4,4,2,3,35,3,1,37500,Treatment 2a,63,70,1,4,4,4,5,0,0,0,0,0,1,1,0,0,1,0,2.92658341663687,-0.11572814012749,0.174669826244958,-0.100554120928827,-0.459845988710713,1.04281073906155,8,5,7,7.5
0,0,3,4,3,3,35,3,0,12500,Treatment 1,20,50,1,3,3,5,4,0,0,0,1,0,0,1,0,1,0,0,3.92658341663687,-0.660331152492146,-0.789025766830675,-1.24974407440113,0.853999693319896,-0.206999884532818,6,2,30,-12.5
0,0,4,4,4,2,65,6,0,12500,Treatment 1,80,90,1,5,5,5,5,0,0,1,0,0,1,0,0,1,0,0,3.92658341663687,-0.11572814012749,1.13836541932059,1.04863583254347,0.853999693319896,1.04281073906155,10,7,10,27.5
1,1,5,5,1,2,35,6,0,37500,Treatment 1,100,125,1,5,5,5,4,0,0,1,0,0,1,0,0,1,0,0,0.926583416636868,0.973477884601824,1.13836541932059,1.04863583254347,0.853999693319896,-0.206999884532818,10,7,25,62.5
0,1,4,4,2,3,25,3,0,37500,Control,65,70,1,3,4,4,4,0,1,0,1,0,1,1,1,0,0,0,2.92658341663687,-0.11572814012749,-0.789025766830675,-0.100554120928827,-0.459845988710713,-0.206999884532818,7,3,5,7.5
1,1,4,5,7,6,65,6,2,37500,Treatment 2b,112,118,1,4,5,4,5,0,1,1,0,1,0,1,0,0,0,1,10.9265834166369,0.428874872237167,0.174669826244958,1.04863583254347,-0.459845988710713,1.04281073906155,9,6,6,55.5
1,1,5,4,7,7,25,6,0,37500,Treatment 1,118,111,1,4,5,5,4,0,0,1,0,0,0,1,0,1,0,0,11.9265834166369,0.428874872237167,0.174669826244958,1.04863583254347,0.853999693319896,-0.206999884532818,9,6,-7,48.5
1,1,4,4,4,3,35,6,1,12500,Treatment 2a,48,79,1,3,3,2,2,1,0,1,0,1,0,0,0,0,1,0,4.92658341663687,-0.11572814012749,-0.789025766830675,-1.24974407440113,-3.08753735277193,-2.70662113172156,6,2,31,16.5
1,1,5,4,3,3,55,7,1,112500,Control,35,45,1,5,5,5,4,1,0,1,0,0,0,0,1,0,0,0,3.92658341663687,0.428874872237167,1.13836541932059,1.04863583254347,0.853999693319896,-0.206999884532818,10,7,10,-17.5
1,1,1,3,5,5,55,6,2,37500,Control,66,86,1,2,4,5,5,1,1,1,0,1,0,1,1,0,0,0,7.92658341663687,-2.29414018958612,-1.75272135990631,-0.100554120928827,0.853999693319896,1.04281073906155,6,2,20,23.5
1,1,3,4,1,2,35,6,0,12500,Treatment 2b,101,100,1,4,4,3,5,0,0,1,0,0,0,0,0,0,0,1,0.926583416636868,-0.660331152492146,0.174669826244958,-0.100554120928827,-1.77369167074132,1.04281073906155,8,5,-1,37.5
